Employee #,Last Name,First Name,Birthday,Address,Phone Number,SSS #,Philhealth #,TIN #,Pag-ibig #,Status,Position,Immediate Supervisor,Basic Salary,Rice Subsidy,Phone Allowance,Clothing Allowance,Gross Semi-monthly Rate,Hourly Rate
10011,Lopez,Josie ,01 14 1937,"49 Springs Apt. 266, Poblacion, Taguig 3200 Occidental Mindoro",478-355-427,44-8563448-3,431709000000,218-489-737-000,113071000000,Regular,Payroll Team Leader,"Salcedo, Anthony","38,475","1,500",800,800,"19,238",229.02
10012,De Leon,Selena ,02 20 1945,"89A Armstrong Trace, Compostela 7874 Maguindanao",975-432-139,27-2090208-8,587272000000,482-259-498-000,719008000000,Regular,Account Team Leader,"Romualdez, Fredrick","41,850","1,500",800,800,"20,925",249.11
10013,Romualdez,Fredrick ,03 10 1985,"22A/52 Lubowitz Meadows, Pililla 4895 Zambales",023-079-009,26-8768374-1,308367000000,598-065-761-000,223058000000,Regular,Account Manager,"Crisostomo, Jose","63,500","1,500","1,000","1,000","31,750",377.98
10014,Bautista,Mark ,02 12 1961,"65 Murphy Center Suite 094, Poblacion, Palayan 5636 Quirino",683-725-348,49-1647342-5,399665000000,273-970-941-000,260055000000,Regular,Account Rank and File,"Mata, Christian","23,250","1,500",500,500,"11,625",138.39
10015,Lazaro,Darlene ,11 25 1985,"47A/94 Larkin Plaza Apt. 179, Poblacion, Caloocan 2751 Quirino",740-721-558,45-5617168-2,606387000000,354-650-951-000,104908000000,Probationary,Account Rank and File,"Mata, Christian","23,250",0,0,0,"11,625",138.39
10016,Delos Santos,Kolby ,02 26 1980,"06A Gulgowski Extensions, Bongabon 6085 Zamboanga del Sur",739-443-033,52-0109570-6,357451000000,187-500-345-000,113018000000,Probationary,Account Rank and File,"Mata, Christian","24,000",0,0,0,"12,000",142.86
10017,Santos,Vella ,12 31 1983,"99A Padberg Spring, Poblacion, Mabalacat 3959 Lanao del Sur",955-879-269,52-9883524-3,548670000000,101-558-994-000,360028000000,Probationary,Account Rank and File,"Mata, Christian","22,500",0,0,0,"11,250",133.93
10018,Del Rosario,Tomas,12 18 1978,"80A/48 Ledner Ridges, Poblacion, Kabankalan 8870 Marinduque",882-550-989,45-5866331-6,953902000000,560-735-732-000,913109000000,Probationary,Account Rank and File,"Mata, Christian","22,500",0,0,0,"11,250",133.93
10019,Tolentino,Jacklyn ,05 19 1944,"96/48 Watsica Flats Suite 734, Poblacion, Malolos 1844 Ifugao",675-757-366,47-1692793-0,753801000000,841-177-857-000,210547000000,Probationary,Account Rank and File,"De Leon, Selena","24,000",0,0,0,"12,000",142.86
10020,Gutierrez,Percival ,12 18 1970,"58A Wilderman Walks, Poblacion, Digos 5822 Davao del Sur",512-899-876,40-9504657-8,797639000000,502-995-671-000,210897000000,Probationary,Account Rank and File,"De Leon, Selena","24,750",0,0,0,"12,375",147.32
10021,Manalaysay,Garfield ,08 28 1966,"60 Goyette Valley Suite 219, Poblacion, Tabuk 3159 Lanao del Sur",948-628-136,45-3298166-4,810909000000,336-676-445-000,211274000000,Probationary,Account Rank and File,"De Leon, Selena","24,750",0,0,0,"12,375",147.32
10022,Villegas,Lizeth ,12 12 1981,"66/77 Mann Views, Luisiana 1263 Dinagat Islands",332-372-215,40-2400719-4,934390000000,210-395-397-000,122238000000,Probationary,Account Rank and File,"De Leon, Selena","24,000",0,0,0,"12,000",142.86
10023,Ramos,Carol ,08 20 1978,"72/70 Stamm Spurs, Bustos 4550 Iloilo",250-700-389,60-1152206-4,351830000000,395-032-717-000,212142000000,Probationary,Account Rank and File,"De Leon, Selena","22,500",0,0,0,"11,250",133.93
10024,Maceda,Emelia ,04 14 1963,"50A/83 Bahringer Oval Suite 145, Kiamba 7688 Nueva Ecija",973-358-041,54-1331005-0,465088000000,215-973-013-000,515013000000,Probationary,Account Rank and File,"De Leon, Selena","22,500",0,0,0,"11,250",133.93
10025,Aguilar,Delia ,01 27 1939,"95 Cremin Junction, Surallah 2809 Cotabato",529-705-439,52-1859253-1,136451000000,599-312-588-000,110019000000,Probationary,Account Rank and File,"De Leon, Selena","22,500",0,0,0,"11,250",133.93
